date,name,type,year
2018-01-01,New Year's Day,National holiday,2018
2018-02-16,Chinese New Year's Day,National holiday,2018
2018-03-17,Bali's Day of Silence and Hindu New Year (Nyepi),National holiday,2018
2018-03-30,Good Friday,National holiday,2018
2018-04-14,Ascension of the Prophet Muhammad,National holiday,2018
2018-05-01,International Labor Day,National holiday,2018
2018-05-10,Ascension Day of Jesus Christ,National holiday,2018
2018-05-29,Waisak Day (Buddha's Anniversary),National holiday,2018
2018-06-01,Pancasila Day,National holiday,2018
2018-06-11,Idul Fitri Joint Holiday,National holiday,2018
2018-06-12,Idul Fitri Joint Holiday,National holiday,2018
2018-06-13,Idul Fitri Joint Holiday,National holiday,2018
2018-06-14,Idul Fitri Joint Holiday,National holiday,2018
2018-06-15,Idul Fitri,National holiday,2018
2018-06-16,Idul Fitri Holiday,National holiday,2018
2018-06-18,Idul Fitri Joint Holiday,National holiday,2018
2018-06-19,Idul Fitri Joint Holiday,National holiday,2018
2018-06-20,Idul Fitri Joint Holiday,National holiday,2018
2018-06-27,Regional Election Day,National holiday,2018
2018-08-17,Indonesian Independence Day,National holiday,2018
2018-08-22,Idul Adha,National holiday,2018
2018-09-11,Muharram / Islamic New Year,National holiday,2018
2018-11-20,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),National holiday,2018
2018-12-24,Christmas Eve Joint Holiday,National holiday,2018
2018-12-25,Christmas Day,National holiday,2018
2019-01-01,New Year's Day,National holiday,2019
2019-02-05,Chinese New Year's Day,National holiday,2019
2019-03-07,Bali's Day of Silence and Hindu New Year (Nyepi),National holiday,2019
2019-04-03,Ascension of the Prophet Muhammad,National holiday,2019
2019-04-17,Election Day,National holiday,2019
2019-04-19,Good Friday,National holiday,2019
2019-05-01,International Labor Day,National holiday,2019
2019-05-19,Waisak Day (Buddha's Anniversary),National holiday,2019
2019-05-30,Ascension Day of Jesus Christ,National holiday,2019
2019-06-01,Pancasila Day,National holiday,2019
2019-06-03,Idul Fitri Joint Holiday,National holiday,2019
2019-06-04,Idul Fitri Joint Holiday,National holiday,2019
2019-06-05,Idul Fitri,National holiday,2019
2019-06-06,Idul Fitri Holiday,National holiday,2019
2019-06-07,Idul Fitri Joint Holiday,National holiday,2019
2019-08-11,Idul Adha,National holiday,2019
2019-08-17,Indonesian Independence Day,National holiday,2019
2019-09-01,Muharram / Islamic New Year,National holiday,2019
2019-11-09,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),National holiday,2019
2019-12-24,Christmas Eve Joint Holiday,National holiday,2019
2019-12-25,Christmas Day,National holiday,2019
2020-01-01,New Year's Day,National holiday,2020
2020-01-25,Chinese New Year's Day,National holiday,2020
2020-03-22,Ascension of the Prophet Muhammad,National holiday,2020
2020-03-25,Bali's Day of Silence and Hindu New Year (Nyepi),National holiday,2020
2020-04-10,Good Friday,National holiday,2020
2020-05-01,International Labor Day,National holiday,2020
2020-05-07,Waisak Day (Buddha's Anniversary),National holiday,2020
2020-05-21,Ascension Day of Jesus Christ,National holiday,2020
2020-05-24,Idul Fitri,National holiday,2020
2020-05-25,Idul Fitri Holiday,National holiday,2020
2020-06-01,Pancasila Day,National holiday,2020
2020-07-31,Idul Adha,National holiday,2020
2020-08-17,Indonesian Independence Day,National holiday,2020
2020-08-20,Muharram / Islamic New Year,National holiday,2020
2020-08-21,Muharram / Islamic New Year Holiday,National holiday,2020
2020-10-28,Joint Holiday for Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),National holiday,2020
2020-10-29,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),National holiday,2020
2020-10-30,Joint Holiday for Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),National holiday,2020
2020-12-09,Election Day,National holiday,2020
